customerID,days_since_last_purchase,total_spent,support_tickets,website_visits_last_month,subscription_tier,payment_method,country,device_type,Churn
ECOMM-88015,90.0,2160.55,1,45,Basic,Crypto,Germany,Desktop,No
ECOMM-90393,61.0,2183.57,5,17,Free,Credit Card,Germany,Tablet,No
ECOMM-51079,3.0,2251.64,8,42,Basic,Apple Pay,USA,Mobile,No
ECOMM-77610,182.0,1424.92,4,12,Premium,Apple Pay,USA,Desktop,No
ECOMM-23691,6.0,3685.35,6,37,Free,Credit Card,USA,Mobile,No
ECOMM-89321,213.0,1297.9,1,46,Premium,Crypto,USA,Tablet,No
ECOMM-42934,152.0,3847.17,7,49,Free,Credit Card,Canada,Desktop,Yes
ECOMM-95552,68.0,4602.18,2,21,Free,Credit Card,Germany,Desktop,No
ECOMM-78770,132.0,330.12,0,34,Basic,Apple Pay,Germany,Mobile,No
ECOMM-17916,6.0,72.76,2,1,Free,Credit Card,UK,Desktop,No
ECOMM-56644,53.0,3749.8,5,1,Premium,Crypto,Germany,Mobile,No
ECOMM-86448,172.0,3812.45,5,25,Free,Crypto,Australia,Mobile,No
ECOMM-15086,29.0,1178.42,3,12,Basic,Credit Card,Australia,Desktop,No
ECOMM-29699,266.0,1655.74,3,46,Basic,Apple Pay,Germany,Tablet,No
ECOMM-31720,94.0,1076.83,4,22,Free,Credit Card,USA,Mobile,No
ECOMM-49872,335.0,812.08,7,13,Free,Credit Card,Canada,Desktop,Yes
ECOMM-60909,62.0,1555.52,9,37,Basic,Crypto,UK,Desktop,No
ECOMM-18028,228.0,382.89,2,48,Free,Crypto,Australia,Desktop,No
ECOMM-59522,188.0,2128.58,5,36,Premium,Credit Card,UK,Mobile,No
ECOMM-38540,334.0,3833.4,3,14,Basic,Credit Card,UK,Desktop,No
ECOMM-53489,225.0,3492.43,0,22,Free,Credit Card,Canada,Mobile,No
ECOMM-15993,315.0,1663.31,8,7,Free,Apple Pay,UK,Mobile,Yes
ECOMM-54858,169.0,1728.83,0,41,Basic,Credit Card,Canada,Desktop,No
ECOMM-35134,80.0,4550.37,4,10,Premium,Crypto,Canada,Mobile,No
ECOMM-16919,69.0,3345.26,1,23,Premium,Crypto,Germany,Mobile,No
ECOMM-11957,316.0,1583.49,4,0,Premium,Credit Card,USA,Tablet,Yes
ECOMM-65552,74.0,1650.0,5,8,Free,Credit Card,Australia,Desktop,No
ECOMM-81858,266.0,484.31,3,28,Free,Crypto,USA,Tablet,No
ECOMM-17369,192.0,1975.04,8,47,Premium,Credit Card,USA,Desktop,Yes
ECOMM-39850,102.0,635.66,3,28,Basic,Apple Pay,Canada,Mobile,Yes
ECOMM-98254,150.0,664.51,4,31,Basic,Credit Card,Germany,Desktop,No
ECOMM-53424,291.0,506.43,9,31,Free,Credit Card,UK,Mobile,Yes
ECOMM-97732,165.0,801.27,5,14,Premium,Apple Pay,Germany,Tablet,Yes
ECOMM-27828,315.0,1683.29,2,38,Premium,Apple Pay,Germany,Tablet,No
ECOMM-54947,345.0,679.83,8,7,Free,PayPal,USA,Mobile,No
ECOMM-61952,109.0,2123.56,9,43,Basic,PayPal,UK,Mobile,No
ECOMM-83584,192.0,2602.26,7,0,Basic,PayPal,Germany,Tablet,Yes
ECOMM-81873,192.0,2958.98,1,28,Basic,Apple Pay,USA,Mobile,Yes
ECOMM-38932,198.0,260.88,0,40,Free,Apple Pay,Australia,Tablet,Yes
ECOMM-87965,27.0,396.52,5,49,Free,Credit Card,Canada,Mobile,No
ECOMM-68813,135.0,2145.07,5,3,Basic,Apple Pay,Germany,Desktop,No
ECOMM-75164,213.0,497.35,2,3,Free,Crypto,UK,Mobile,No
ECOMM-16178,335.0,352.39,6,36,Free,Crypto,USA,Desktop,Yes
ECOMM-56678,87.0,4987.78,1,43,Premium,PayPal,USA,Tablet,No
ECOMM-52592,235.0,1537.47,7,31,Premium,Credit Card,UK,Tablet,Yes
ECOMM-25099,279.0,794.06,1,45,Free,Crypto,Australia,Desktop,No
ECOMM-72501,337.0,3736.74,5,14,Basic,Crypto,Canada,Desktop,No
ECOMM-15868,64.0,2284.17,6,7,Premium,Apple Pay,UK,Tablet,No
ECOMM-26674,246.0,4794.12,5,13,Free,PayPal,Germany,Tablet,Yes
ECOMM-44545,114.0,768.44,1,7,Free,PayPal,USA,Mobile,No
ECOMM-72016,161.0,924.74,9,44,Basic,PayPal,Canada,Desktop,No
ECOMM-94573,6.0,4515.8,4,16,Free,Crypto,Canada,Desktop,No
ECOMM-76603,263.0,4905.43,6,30,Basic,Crypto,USA,Mobile,Yes
ECOMM-39315,12.0,4781.06,2,21,Basic,Crypto,USA,Mobile,No
ECOMM-33958,137.0,4826.98,6,0,Basic,Crypto,UK,Tablet,No
ECOMM-94939,181.0,32.36,4,11,Basic,Credit Card,Canada,Desktop,Yes
ECOMM-97655,244.0,3757.2,5,39,Basic,Apple Pay,UK,Tablet,No
ECOMM-51223,171.0,352.84,1,16,Free,Apple Pay,UK,Desktop,No
ECOMM-46841,306.0,2114.3,4,13,Basic,Apple Pay,Germany,Tablet,Yes
ECOMM-24338,47.0,2298.29,1,9,Basic,Crypto,USA,Tablet,Yes
ECOMM-76137,96.0,1399.04,6,19,Basic,Credit Card,UK,Desktop,No
ECOMM-13925,94.0,3319.35,1,4,Basic,Apple Pay,Germany,Mobile,No
ECOMM-60059,139.0,1133.3,7,46,Premium,Apple Pay,UK,Tablet,No
ECOMM-93048,2.0,2635.88,9,36,Free,PayPal,Canada,Mobile,No
ECOMM-50987,157.0,1752.65,5,22,Free,PayPal,Canada,Mobile,No
ECOMM-44141,139.0,3084.96,1,48,Free,Crypto,USA,Mobile,No
ECOMM-96087,214.0,2818.9,5,9,Premium,Apple Pay,UK,Mobile,No
ECOMM-96333,210.0,705.18,4,18,Basic,Apple Pay,UK,Desktop,Yes
ECOMM-38271,103.0,2865.55,5,31,Free,PayPal,UK,Desktop,No
ECOMM-67192,156.0,814.21,5,5,Basic,Apple Pay,Canada,Tablet,No
ECOMM-73765,184.0,2084.97,3,20,Basic,PayPal,Australia,Mobile,Yes
ECOMM-90143,304.0,3114.31,2,10,Premium,PayPal,UK,Mobile,No
ECOMM-80807,28.0,3985.17,0,29,Free,Credit Card,UK,Tablet,No
ECOMM-87614,225.0,3853.87,9,4,Free,Apple Pay,Australia,Tablet,No
ECOMM-63004,30.0,4502.49,9,22,Basic,Crypto,UK,Tablet,No
ECOMM-32887,97.0,3437.17,0,26,Basic,Crypto,UK,Tablet,No
ECOMM-37555,162.0,1544.23,3,40,Premium,PayPal,UK,Mobile,No
ECOMM-32705,296.0,2136.22,5,5,Free,Crypto,UK,Mobile,No
ECOMM-99274,123.0,2137.5,9,25,Free,Apple Pay,Australia,Tablet,Yes
ECOMM-87782,182.0,1885.17,9,3,Free,Crypto,USA,Tablet,Yes
ECOMM-41904,211.0,2235.53,7,3,Basic,PayPal,UK,Tablet,No
ECOMM-35550,277.0,3806.47,8,48,Premium,Crypto,Germany,Desktop,Yes
ECOMM-11648,145.0,2623.43,6,36,Premium,Apple Pay,UK,Desktop,No
ECOMM-53574,207.0,4986.72,5,15,Free,Apple Pay,Germany,Desktop,No
ECOMM-50987,306.0,4328.43,9,29,Free,Crypto,Canada,Mobile,Yes
ECOMM-25043,160.0,2850.36,6,9,Free,Credit Card,Canada,Tablet,No
ECOMM-52344,342.0,1026.43,1,3,Free,Apple Pay,UK,Tablet,Yes
ECOMM-61443,145.0,1940.88,8,0,Premium,Apple Pay,UK,Mobile,No
ECOMM-14724,158.0,712.64,1,43,Free,Credit Card,Germany,Mobile,No
ECOMM-30787,9.0,1110.34,1,4,Free,Apple Pay,Australia,Mobile,No
ECOMM-98197,195.0,3891.97,3,17,Basic,Crypto,Australia,Mobile,Yes
ECOMM-90849,171.0,4631.66,4,42,Basic,Crypto,Germany,Mobile,Yes
ECOMM-15276,152.0,3564.33,6,49,Free,PayPal,Australia,Mobile,No
ECOMM-57543,227.0,525.66,4,26,Free,Crypto,USA,Desktop,No
ECOMM-53531,200.0,2664.03,3,39,Free,Crypto,UK,Desktop,No
ECOMM-79038,345.0,4357.97,3,12,Free,Credit Card,USA,Desktop,No
ECOMM-96468,149.0,928.4,2,41,Basic,Apple Pay,Germany,Tablet,No
ECOMM-12739,159.0,1249.19,1,40,Free,Crypto,Germany,Desktop,No
ECOMM-49681,296.0,4643.33,9,40,Premium,Crypto,Germany,Tablet,No
ECOMM-93432,177.0,4058.14,7,29,Premium,Apple Pay,USA,Tablet,No
ECOMM-22696,92.0,4086.19,8,0,Basic,PayPal,Germany,Tablet,Yes
ECOMM-13700,189.0,2619.3,8,37,Basic,Crypto,Australia,Desktop,No
ECOMM-67188,185.0,3015.77,2,48,Free,Apple Pay,Canada,Desktop,No
ECOMM-56382,149.0,4395.76,6,40,Basic,Credit Card,Australia,Mobile,No
ECOMM-81307,194.0,3571.51,6,15,Free,Credit Card,Germany,Tablet,Yes
ECOMM-35698,211.0,1953.06,6,14,Basic,Credit Card,Germany,Tablet,No
ECOMM-95062,354.0,2745.69,7,0,Basic,Credit Card,Germany,Mobile,No
ECOMM-84969,26.0,4520.59,5,21,Premium,Crypto,UK,Tablet,No
ECOMM-77254,333.0,3540.08,5,41,Premium,PayPal,Germany,Tablet,No
ECOMM-13154,178.0,2636.26,2,42,Basic,Apple Pay,Germany,Desktop,No
ECOMM-54251,139.0,640.77,7,12,Basic,Crypto,Australia,Mobile,No
ECOMM-79189,223.0,602.22,6,35,Free,Apple Pay,UK,Desktop,No
ECOMM-46346,43.0,269.65,4,1,Premium,Apple Pay,Australia,Tablet,No
ECOMM-42378,271.0,477.19,5,28,Free,Crypto,USA,Desktop,Yes
ECOMM-51595,35.0,1853.3,0,34,Free,Crypto,USA,Tablet,No
ECOMM-26287,157.0,2260.35,4,13,Free,Crypto,Australia,Desktop,No
ECOMM-88337,74.0,478.79,2,24,Free,PayPal,Germany,Desktop,No
ECOMM-15465,111.0,1160.52,9,48,Free,PayPal,USA,Mobile,No
ECOMM-73348,172.0,2266.67,5,25,Basic,PayPal,USA,Tablet,No
ECOMM-15810,3.0,4292.93,0,3,Premium,Crypto,USA,Mobile,No
ECOMM-56681,324.0,3708.84,3,26,Premium,Crypto,USA,Mobile,No
ECOMM-61551,276.0,4815.13,5,6,Premium,Crypto,Canada,Mobile,No
ECOMM-58462,349.0,2839.71,3,49,Free,Crypto,Australia,Mobile,No
ECOMM-71978,29.0,1543.0,8,45,Free,PayPal,Canada,Tablet,No
ECOMM-97809,65.0,3915.4,8,44,Premium,PayPal,Germany,Mobile,No
ECOMM-28101,179.0,3485.27,1,14,Premium,PayPal,UK,Desktop,No
ECOMM-29766,312.0,3524.62,5,42,Free,PayPal,UK,Mobile,No
ECOMM-38588,111.0,2769.3,3,22,Premium,Apple Pay,Australia,Desktop,No
ECOMM-86457,110.0,501.96,0,41,Basic,Credit Card,USA,Mobile,No
ECOMM-24786,307.0,1211.38,2,24,Free,Apple Pay,UK,Desktop,No
ECOMM-45270,1.0,4788.25,8,34,Free,PayPal,USA,Tablet,No
ECOMM-68036,346.0,796.21,8,31,Premium,Apple Pay,UK,Desktop,No
ECOMM-94898,70.0,2281.19,7,28,Free,Crypto,Germany,Tablet,No
ECOMM-10132,117.0,426.0,6,22,Free,Apple Pay,USA,Mobile,No
ECOMM-36478,118.0,2754.61,0,4,Basic,PayPal,Canada,Mobile,No
ECOMM-84694,327.0,2323.33,4,34,Premium,Crypto,Australia,Desktop,No
ECOMM-78943,299.0,1364.12,4,14,Basic,Crypto,Australia,Desktop,Yes
ECOMM-68432,123.0,2237.3,8,43,Free,Apple Pay,Germany,Tablet,No
ECOMM-49564,125.0,1157.57,5,25,Basic,PayPal,Canada,Desktop,No
ECOMM-25190,296.0,1190.38,3,2,Basic,Credit Card,Canada,Tablet,Yes
ECOMM-18216,103.0,4878.9,2,15,Free,Credit Card,Australia,Desktop,Yes
ECOMM-11020,291.0,3994.37,7,20,Premium,Crypto,Germany,Tablet,Yes
ECOMM-63240,298.0,1146.42,0,32,Free,Crypto,UK,Tablet,No
ECOMM-32005,239.0,283.41,1,31,Free,Credit Card,UK,Desktop,No
ECOMM-68582,271.0,817.74,6,33,Free,Credit Card,UK,Desktop,Yes
ECOMM-43412,84.0,150.02,4,19,Free,PayPal,USA,Tablet,No
ECOMM-71293,205.0,942.73,9,3,Basic,PayPal,USA,Tablet,No
ECOMM-52408,51.0,1550.99,4,10,Basic,Crypto,UK,Desktop,No
ECOMM-94301,22.0,3762.38,0,31,Basic,Crypto,Australia,Desktop,No
ECOMM-51228,155.0,2860.3,6,33,Basic,Crypto,UK,Tablet,No
ECOMM-27718,108.0,456.1,7,16,Basic,Credit Card,Australia,Tablet,No
ECOMM-52523,56.0,4642.18,9,9,Basic,Apple Pay,UK,Desktop,No
ECOMM-41303,192.0,3622.27,0,40,Premium,Crypto,UK,Mobile,Yes
ECOMM-61630,318.0,2573.8,6,10,Basic,Crypto,Germany,Desktop,Yes
ECOMM-59219,91.0,2886.77,0,16,Free,Apple Pay,USA,Tablet,No
ECOMM-19785,66.0,3130.23,4,20,Premium,Crypto,Canada,Tablet,No
ECOMM-42488,317.0,3031.24,8,31,Basic,Crypto,Australia,Desktop,Yes
ECOMM-55988,12.0,4292.78,0,29,Basic,PayPal,Australia,Tablet,No
ECOMM-78927,214.0,3525.83,9,12,Free,Credit Card,USA,Desktop,Yes
ECOMM-11060,204.0,3471.17,4,15,Free,Crypto,UK,Tablet,Yes
ECOMM-91686,171.0,3290.65,6,15,Premium,Apple Pay,Germany,Tablet,No
ECOMM-27235,157.0,3587.97,4,7,Free,PayPal,Australia,Desktop,No
ECOMM-15187,10.0,1075.19,1,27,Basic,Apple Pay,Australia,Tablet,No
ECOMM-43002,313.0,3777.71,9,19,Basic,Crypto,USA,Tablet,Yes
ECOMM-28946,25.0,2193.6,4,16,Free,Credit Card,USA,Desktop,No
ECOMM-51288,59.0,3569.57,4,27,Free,Apple Pay,Australia,Tablet,No
ECOMM-79542,321.0,4963.57,5,24,Basic,Apple Pay,USA,Tablet,No
ECOMM-87496,132.0,4480.04,4,14,Free,Credit Card,Canada,Desktop,No
ECOMM-68544,168.0,4489.14,7,30,Premium,PayPal,Canada,Mobile,No
ECOMM-78915,234.0,2541.65,6,39,Free,Apple Pay,USA,Mobile,Yes
ECOMM-81199,206.0,592.67,6,12,Premium,Apple Pay,UK,Desktop,No
ECOMM-15772,339.0,442.79,9,45,Free,Crypto,Germany,Mobile,Yes
ECOMM-75204,342.0,4845.02,0,26,Free,Credit Card,USA,Mobile,No
ECOMM-28081,96.0,2943.32,1,13,Free,Apple Pay,UK,Mobile,No
ECOMM-57399,278.0,2666.7,2,30,Free,PayPal,Australia,Desktop,No
ECOMM-41954,251.0,3339.02,0,40,Free,Crypto,USA,Tablet,No
ECOMM-63524,91.0,2250.94,8,42,Free,Apple Pay,UK,Tablet,No
ECOMM-29812,55.0,2864.55,6,14,Basic,PayPal,USA,Mobile,Yes
ECOMM-97014,297.0,3832.14,7,26,Basic,Crypto,UK,Mobile,Yes
ECOMM-68021,270.0,3330.77,5,28,Basic,Credit Card,UK,Mobile,Yes
ECOMM-46153,137.0,1001.55,3,19,Free,Crypto,USA,Mobile,No
ECOMM-46100,107.0,3712.43,5,4,Free,Crypto,Canada,Mobile,No
ECOMM-87965,252.0,4145.02,4,34,Premium,PayPal,UK,Tablet,No
ECOMM-54153,89.0,2312.24,6,45,Basic,Apple Pay,Canada,Tablet,Yes
ECOMM-50717,169.0,2133.71,1,6,Free,Crypto,Canada,Desktop,No
ECOMM-87136,84.0,2419.62,8,1,Basic,Crypto,Canada,Mobile,Yes
ECOMM-42892,226.0,1113.41,1,21,Free,PayPal,UK,Mobile,No
ECOMM-61938,135.0,3071.67,1,44,Free,Credit Card,USA,Desktop,No
ECOMM-16184,243.0,4734.4,8,2,Free,PayPal,UK,Mobile,Yes
ECOMM-65371,120.0,2315.3,6,33,Basic,Crypto,Germany,Tablet,No
ECOMM-32711,228.0,2756.72,8,45,Basic,Apple Pay,USA,Mobile,Yes
ECOMM-47283,224.0,1240.75,7,7,Free,Credit Card,UK,Desktop,No
ECOMM-66332,165.0,2638.19,2,42,Free,Credit Card,USA,Mobile,No
ECOMM-60364,199.0,391.08,7,18,Free,Crypto,UK,Mobile,No
ECOMM-34813,65.0,2507.19,1,15,Free,Credit Card,Australia,Desktop,No
ECOMM-52336,273.0,724.01,1,20,Free,Apple Pay,UK,Tablet,No
ECOMM-11744,263.0,495.2,9,46,Basic,Credit Card,USA,Mobile,No
ECOMM-40566,108.0,2331.11,4,30,Free,Crypto,USA,Desktop,No
ECOMM-10296,154.0,4917.54,7,18,Basic,Credit Card,UK,Desktop,No
ECOMM-60100,350.0,2148.44,2,0,Free,Crypto,UK,Desktop,No
ECOMM-70086,47.0,325.13,9,44,Basic,PayPal,Australia,Desktop,Yes
ECOMM-89794,198.0,266.05,5,9,Free,PayPal,Canada,Desktop,Yes
ECOMM-54423,194.0,4188.68,9,30,Basic,PayPal,USA,Mobile,No
ECOMM-94627,248.0,3819.39,7,44,Free,Crypto,UK,Tablet,Yes
ECOMM-63044,163.0,3844.46,3,7,Free,Apple Pay,Germany,Tablet,No
ECOMM-33551,251.0,284.79,6,16,Free,PayPal,Australia,Desktop,No
ECOMM-60012,41.0,4841.58,3,9,Free,Apple Pay,Canada,Mobile,Yes
ECOMM-66023,56.0,1231.74,6,12,Basic,Apple Pay,Australia,Mobile,No
ECOMM-20981,195.0,2563.8,9,39,Basic,Crypto,Canada,Tablet,Yes
ECOMM-99437,53.0,495.69,8,33,Basic,Credit Card,Australia,Tablet,No
ECOMM-45680,9.0,225.47,4,27,Free,Apple Pay,UK,Mobile,No
ECOMM-76339,169.0,3956.79,7,29,Basic,Crypto,Germany,Mobile,No
ECOMM-94766,255.0,656.98,0,12,Free,Crypto,UK,Mobile,Yes
ECOMM-13520,190.0,3633.63,6,35,Free,PayPal,USA,Desktop,No
ECOMM-64271,319.0,125.95,5,44,Free,Credit Card,USA,Tablet,Yes
ECOMM-93834,100.0,217.04,1,18,Basic,Apple Pay,UK,Tablet,No
ECOMM-72182,164.0,2705.2,9,16,Free,Credit Card,UK,Mobile,No
ECOMM-91282,66.0,4191.59,1,3,Free,Credit Card,USA,Mobile,No
ECOMM-85751,93.0,4554.5,9,37,Premium,Crypto,Australia,Tablet,No
ECOMM-25017,184.0,4974.26,2,6,Free,PayPal,Australia,Mobile,No
ECOMM-59912,220.0,225.22,8,30,Basic,PayPal,Australia,Mobile,No
ECOMM-44593,241.0,4481.45,2,9,Free,Apple Pay,Australia,Desktop,Yes
ECOMM-61848,96.0,4859.22,2,21,Basic,PayPal,UK,Tablet,No
ECOMM-73893,84.0,4856.22,4,11,Basic,Crypto,UK,Mobile,No
ECOMM-55078,150.0,4262.93,8,34,Basic,Crypto,UK,Tablet,No
ECOMM-51977,80.0,3422.53,4,33,Premium,PayPal,Australia,Mobile,No
ECOMM-96650,83.0,974.96,7,15,Free,Credit Card,USA,Mobile,Yes
ECOMM-31503,348.0,3299.56,3,23,Basic,PayPal,Canada,Desktop,No
ECOMM-84031,123.0,2910.63,5,38,Basic,PayPal,Canada,Tablet,No
ECOMM-98889,264.0,4850.54,2,44,Basic,Crypto,Australia,Tablet,No
ECOMM-84025,116.0,3826.94,0,12,Free,Credit Card,UK,Desktop,No
ECOMM-86737,13.0,3795.66,6,21,Free,PayPal,Germany,Mobile,No
ECOMM-67506,19.0,1729.72,1,31,Free,PayPal,USA,Tablet,No
ECOMM-93129,358.0,980.98,1,37,Basic,Credit Card,UK,Tablet,Yes
ECOMM-34254,133.0,3431.95,0,33,Free,Apple Pay,Germany,Tablet,No
ECOMM-62072,4.0,3927.28,0,9,Free,Apple Pay,USA,Tablet,No
ECOMM-28564,138.0,4658.68,8,38,Free,Apple Pay,Australia,Mobile,No
ECOMM-96863,97.0,4394.43,4,3,Premium,PayPal,UK,Mobile,No
ECOMM-63626,245.0,873.18,8,22,Basic,Credit Card,USA,Mobile,No
ECOMM-76138,334.0,1403.58,3,49,Free,PayPal,UK,Tablet,No
ECOMM-97538,326.0,662.72,8,26,Free,Crypto,Australia,Desktop,No
ECOMM-35531,30.0,1728.28,6,6,Free,Apple Pay,Canada,Desktop,Yes
ECOMM-97165,2.0,1316.07,5,28,Free,Apple Pay,Canada,Mobile,No
ECOMM-82801,312.0,3726.74,2,36,Free,PayPal,Germany,Tablet,No
ECOMM-18771,66.0,19.12,1,29,Free,Apple Pay,UK,Tablet,No
ECOMM-16534,53.0,611.55,8,44,Premium,Credit Card,Canada,Tablet,No
ECOMM-20979,345.0,1466.08,9,29,Basic,PayPal,Canada,Desktop,Yes
ECOMM-46755,66.0,4637.24,3,45,Free,Apple Pay,Canada,Desktop,No
ECOMM-26648,313.0,1614.26,5,33,Free,Apple Pay,Australia,Tablet,No
ECOMM-70981,286.0,2660.02,5,46,Free,PayPal,UK,Tablet,No
ECOMM-81863,74.0,3838.27,1,21,Free,Apple Pay,USA,Desktop,Yes
ECOMM-80477,326.0,2080.36,7,46,Free,Apple Pay,Australia,Tablet,Yes
ECOMM-79490,228.0,3470.28,9,16,Basic,Credit Card,Germany,Tablet,Yes
ECOMM-70701,168.0,4240.43,9,38,Premium,Crypto,Germany,Mobile,Yes
ECOMM-24325,178.0,2998.25,9,30,Basic,Crypto,Canada,Mobile,No
ECOMM-83351,15.0,731.49,3,0,Basic,Apple Pay,Canada,Mobile,No
ECOMM-25068,317.0,4614.13,2,12,Basic,PayPal,UK,Desktop,No
ECOMM-86068,115.0,2420.3,3,9,Basic,Credit Card,Germany,Mobile,No
ECOMM-45375,102.0,2367.48,5,42,Basic,PayPal,UK,Mobile,No
ECOMM-30693,6.0,2032.54,3,42,Free,Apple Pay,UK,Desktop,No
ECOMM-52220,96.0,1003.58,2,18,Free,PayPal,Australia,Tablet,No
ECOMM-37012,128.0,1574.97,2,39,Free,Apple Pay,UK,Mobile,No
ECOMM-33092,17.0,3653.25,2,12,Free,Crypto,UK,Mobile,No
ECOMM-58308,240.0,3227.95,0,33,Free,Crypto,UK,Mobile,No
ECOMM-51280,52.0,103.41,4,34,Free,Crypto,Canada,Desktop,No
ECOMM-23683,97.0,262.32,7,35,Premium,PayPal,Germany,Desktop,No
ECOMM-54545,175.0,87.14,1,1,Basic,Credit Card,Canada,Mobile,No
ECOMM-53804,238.0,1163.01,7,26,Free,Credit Card,Germany,Desktop,Yes
ECOMM-26920,68.0,2601.98,8,4,Basic,PayPal,Australia,Tablet,No
ECOMM-97448,338.0,3472.92,0,8,Basic,Credit Card,USA,Mobile,Yes
ECOMM-62686,189.0,689.57,9,18,Free,Credit Card,Canada,Mobile,Yes
ECOMM-37607,170.0,4878.05,7,5,Free,Crypto,Germany,Tablet,No
ECOMM-66163,273.0,267.55,0,5,Premium,Apple Pay,Germany,Mobile,Yes
ECOMM-24924,76.0,3984.07,6,49,Free,Crypto,Australia,Desktop,Yes
ECOMM-19146,103.0,4299.75,9,15,Free,Apple Pay,Canada,Tablet,No
ECOMM-79438,336.0,2384.73,9,40,Basic,PayPal,UK,Mobile,No
ECOMM-93875,257.0,3941.65,7,16,Premium,Apple Pay,Germany,Mobile,Yes
ECOMM-83105,345.0,4369.97,0,2,Basic,Crypto,Australia,Mobile,No
ECOMM-14307,229.0,4759.89,9,4,Basic,PayPal,Canada,Tablet,Yes
ECOMM-41478,50.0,2992.92,9,32,Free,Credit Card,UK,Tablet,No
ECOMM-80464,275.0,1867.48,5,30,Free,Credit Card,Canada,Desktop,Yes
ECOMM-70468,328.0,46.45,5,41,Basic,PayPal,UK,Tablet,No
ECOMM-42912,46.0,4851.97,6,45,Free,Credit Card,USA,Desktop,No
ECOMM-65356,107.0,1161.68,7,13,Premium,PayPal,UK,Desktop,No
ECOMM-54084,285.0,3877.9,3,48,Basic,PayPal,USA,Desktop,No
ECOMM-88178,47.0,3120.64,7,37,Free,Apple Pay,Canada,Desktop,No
ECOMM-43766,354.0,4821.07,3,31,Free,PayPal,Australia,Mobile,Yes
ECOMM-54688,43.0,2306.66,1,3,Free,Crypto,Australia,Desktop,No
